trade_id,system_id,trader_id,desk,book,trade_date,trade_time,settlement_date,maturity_date,value_date,symbol,isin,cusip,sedol,ric,bloomberg_ticker,asset_class,product_type,instrument_type,security_type,side,quantity,price,gross_amount,net_amount,currency,settlement_currency,fx_rate,usd_equivalent,commission,clearing_fee,exchange_fee,regulatory_fee,total_fees,counterparty_id,counterparty_name,counterparty_country,counterparty_rating,execution_venue,market_center,order_type,time_in_force,execution_timestamp,latency_ms,slippage_bps,market_impact_bps,implementation_shortfall,delta,gamma,vega,theta,rho,implied_volatility,historical_volatility,bid_price,ask_price,mid_price,bid_size,ask_size,last_price,open_price,high_price,low_price,close_price,vwap,volume,rsi_14,macd,macd_signal,macd_histogram,bollinger_upper,bollinger_lower,sma_20,sma_50,sma_200,ema_12,ema_26,portfolio_id,strategy_id,position_before,position_after,average_cost,unrealized_pnl,realized_pnl,total_pnl,trade_status,settlement_status,regulatory_flag,compliance_checked,best_execution_flag,clearing_house,custodian,settlement_method,settlement_instruction,order_id,execution_id,allocation_id,confirmation_id,source_system,created_by,created_timestamp,modified_by,modified_timestamp,version,audit_trail,tick_size,lot_size,market_cap,sector,industry,alpha,beta,sharpe_ratio,sortino_ratio,information_ratio,tracking_error,var_95,cvar_95,maximum_drawdown,block_trade,cross_trade,algorithmic,high_frequency,dark_pool
TRDB000001,B,TRADER_001,EQUITY,BOOK_027,2024-03-06,15:15:16,2024-06-15,2026-06-30,2024-06-15,JPM,US4418828570,737458510,9381604,JPM.N,JPM US Equity,SWAP,SWAP,STRUCTURED,COMMON,SELL,4368,452.29,1975602.72,1942511.99,USD,CHF,1.1709,2274487.29,5117.88,197.56,395.12,98.78,5809.34,CP7870,Citi,JP,AA+,XETRA,ELECTRONIC,LOC,DAY,16:16:54.122,92,6.18,19.64,-4.5812,0.2871,0.071956,10.44,-6.3283,-28.8737,0.2185,0.2823,452.18,452.6,452.39,849,1803,452.29,471.89,474.11,450.57,456.15,451.34,4104168,31.62,-1.2625,-0.5951,-0.6674,461.34,443.24,452.55,453.19,442.0,449.82,451.08,PF783,MOMENTUM,-7339,-11707,492.68,472845.73,5634.92,478480.64999999997,FILLED,SETTLED,NONE,YES,YES,CME,BNY_MELLON,RVP,SI55071,ORDB00000001,EXEB00000001,ALOB00000001,CNFB00000001,TRADING_SYSTEM_B,USER_037,2024-11-18 20:50:30,USER_037,2024-11-18 20:50:30,3,AUDIT_299836,0.01,1,LARGE_CAP,HEALTHCARE,SOFTWARE,0.0007,1.2647,-0.8554,1.3964,-0.3426,0.0305,-39926.99,-56570.21,-0.0001,NO,NO,YES,NO,NO
TRDB000002,B,TRADER_001,EQUITY,BOOK_045,2024-04-24,12:21:41,2024-07-16,2025-06-26,2024-07-16,SLB,US3479690385,342870588,2191383,SLB.N,SLB US Equity,EQUITY,ETF,DERIVATIVE,RIGHT,SELL,4199,488.46,2051043.54,2037678.84,CAD,JPY,1.2685,2584795.61,4810.21,205.1,410.21,102.55,5528.070000000001,CP4678,Morgan Stanley,US,AA,TSE,DARK_POOL,MARKET,IOC,10:10:51.702,80,6.01,7.82,0.0307,-0.824,0.010745,32.19,-9.8112,13.2677,0.3902,0.3403,487.99,488.81,488.4,1956,3424,488.46,479.52,505.12,474.92,478.76,491.56,8884599,32.5,-0.2277,1.349,-1.5767,498.23,478.69,490.19,477.85,506.78,487.38,482.55,PF199,MEAN_REVERSION,-3349,-7548,187.51,-2271570.6,-2893.21,-2274463.81,FILLED,SETTLED,NONE,YES,YES,ICE,JPMORGAN,RVP,SI63856,ORDB00000002,EXEB00000002,ALOB00000002,CNFB00000002,TRADING_SYSTEM_B,USER_050,2024-11-12 16:19:54,USER_050,2024-11-12 16:19:54,4,AUDIT_851606,0.1,100,SMALL_CAP,INDUSTRIAL,OIL_GAS,0.0496,0.7439,0.2857,2.6436,0.4727,0.0189,-46499.52,-36925.34,-0.14,NO,NO,YES,YES,YES
TRDB000003,B,TRADER_001,EQUITY,BOOK_036,2024-01-02,10:59:28,2024-01-07,2025-12-11,2024-01-07,COP,US3305920746,657749020,9863176,COP.N,COP US Equity,EQUITY,OPTION,CASH,COMMON,SELL,3001,70.82,212530.82,208847.53,GBP,GBP,1.3821,288648.17,411.87,21.25,42.51,10.63,486.26,CP6272,JP Morgan,US,A-,XETRA,DARK_POOL,LIMIT,FOK,13:52:45.713,41,-0.86,1.6,0.8422,0.7871,0.084612,-35.42,-8.9947,47.6014,0.1919,0.3823,70.8,70.84,70.82,499,540,70.82,73.93,74.66,68.3,69.54,70.92,2081908,59.68,-1.337,-1.7328,0.39579999999999993,72.24,69.4,71.64,71.21,72.71,70.97,70.96,PF187,MOMENTUM,-5122,-8123,42.2,-232480.26,1485.41,-230994.85,FILLED,PENDING,NONE,YES,YES,CME,STATE_STREET,DVP,SI44620,ORDB00000003,EXEB00000003,ALOB00000003,CNFB00000003,TRADING_SYSTEM_B,USER_014,2024-03-27 21:56:35,USER_014,2024-03-27 21:56:35,4,AUDIT_454349,0.1,10,LARGE_CAP,HEALTHCARE,PHARMA,-0.0321,1.3388,2.0542,1.8345,-0.0805,0.049,-14411.96,-61927.82,-0.052,NO,NO,NO,NO,NO
TRDB000004,B,TRADER_001,EQUITY,BOOK_031,2024-01-12,14:05:34,2024-05-29,2025-10-09,2024-05-29,XOM,US6866036409,830125895,1202450,XOM.N,XOM US Equity,OPTION,FUTURE,STRUCTURED,PREFERRED,BUY,1763,210.1,370406.3,368968.07,EUR,EUR,0.9052,333989.9,1082.55,37.04,74.08,18.52,1212.1899999999998,CP5067,JP Morgan,US,AAA,XETRA,OTC,MARKET,GTC,09:13:53.877,94,2.13,1.8,4.202,-0.2215,0.073572,-3.75,-5.0378,-18.9399,0.1004,0.1601,209.88,210.26,210.07,1626,3357,210.1,207.34,224.29,204.39,205.93,208.18,5098710,74.68,1.9282,1.7694,0.15879999999999983,214.3,205.9,211.41,207.77,207.2,211.17,206.87,PF784,ARBITRAGE,3091,4854,317.46,-521125.44,6661.14,-514464.3,FILLED,PENDING,NONE,PENDING,YES,DTC,BNY_MELLON,RVP,SI60206,ORDB00000004,EXEB00000004,ALOB00000004,CNFB00000004,TRADING_SYSTEM_B,USER_015,2024-03-10 03:30:08,USER_015,2024-03-10 03:30:08,4,AUDIT_213000,0.25,10,MID_CAP,INDUSTRIAL,RETAIL,0.0482,0.8759,2.8408,-0.0178,-0.1018,0.0214,-24958.42,-9022.31,-0.0029,NO,NO,YES,NO,YES
TRDB000005,B,TRADER_001,EQUITY,BOOK_049,2024-06-01,12:03:17,2024-07-30,2025-10-20,2024-07-30,CVX,US6141394879,577886922,7058222,CVX.N,CVX US Equity,BOND,BOND,STRUCTURED,WARRANT,BUY,5691,145.8,829747.8,829577.48,CHF,USD,0.827,686060.58,2661.26,82.97,165.95,41.49,2951.6699999999996,CP7819,Citi,UK,AAA,NASDAQ,ELECTRONIC,STOP,IOC,14:09:05.728,4,2.09,11.82,-4.5084,-0.3733,0.021172,23.47,-3.1004,-3.903,0.3861,0.3279,145.78,146.12,145.95,2124,3006,145.8,139.3,155.03,138.19,146.65,144.86,9093487,44.23,-1.615,1.9453,-3.5603,148.72,142.88,146.43,141.88,149.21,146.97,143.02,PF452,MARKET_MAKING,-5685,6,96.13,298.02,3762.28,4060.3,NEW,SETTLED,NONE,YES,YES,DTC,STATE_STREET,FOP,SI95824,ORDB00000005,EXEB00000005,ALOB00000005,CNFB00000005,TRADING_SYSTEM_B,USER_042,2024-12-09 23:51:35,USER_042,2024-12-09 23:51:35,3,AUDIT_893928,0.01,10,MID_CAP,ENERGY,RETAIL,-0.0124,1.0322,0.1045,2.2741,1.3813,0.0494,-15591.54,-7193.51,-0.1876,NO,NO,YES,NO,NO
TRDB000006,B,TRADER_001,EQUITY,BOOK_035,2024-08-25,15:43:38,2024-07-17,2025-07-11,2024-07-17,MMM,US5784400161,109971784,6309530,MMM.N,MMM US Equity,OPTION,STOCK,CASH,PREFERRED,SELL,3972,390.18,1549794.96,1530496.53,GBP,GBP,1.4152,2165958.69,5466.28,154.98,309.96,77.49,6008.709999999999,CP6241,UBS,UK,A+,NASDAQ,ELECTRONIC,MOC,DAY,12:22:25.525,2,6.54,11.99,0.735,-0.0753,0.014529,-19.02,-6.6526,17.4001,0.1685,0.206,389.93,390.19,390.06,419,326,390.18,400.44,408.23,370.87,388.89,393.03,3498718,32.46,0.3568,-1.6457,2.0025,397.98,382.38,388.8,400.68,374.73,393.42,383.17,PF927,TREND_FOLLOWING,-35,-4007,462.45,289585.89,-9576.72,280009.17000000004,NEW,SETTLED,NONE,YES,YES,NSCC,STATE_STREET,FOP,SI73646,ORDB00000006,EXEB00000006,ALOB00000006,CNFB00000006,TRADING_SYSTEM_B,USER_015,2024-03-22 10:41:05,USER_015,2024-03-22 10:41:05,1,AUDIT_534603,0.05,1,LARGE_CAP,ENERGY,OIL_GAS,-0.03,1.442,-0.0139,2.4243,1.0231,0.0759,-26634.7,-6702.88,-0.2243,NO,NO,NO,NO,YES
TRDB000007,B,TRADER_001,EQUITY,BOOK_043,2024-12-10,09:55:04,2025-02-02,2026-04-13,2025-02-02,MMM,US5785590330,108657116,3214305,MMM.N,MMM US Equity,BOND,OPTION,STRUCTURED,COMMON,SELL,1154,338.09,390155.86,385823.23,GBP,GBP,1.0205,393732.61,791.42,39.02,78.03,19.51,927.9799999999999,CP5444,Morgan Stanley,DE,AAA,XETRA,FLOOR,MARKET,DAY,09:43:19.266,67,-1.5,8.38,3.5363,-0.2199,0.031629,-60.33,-3.0451,4.1506,0.1418,0.2538,337.83,338.12,337.98,435,2501,338.09,344.97,356.89,333.06,335.35,338.52,380759,58.92,0.5059,-0.8349,1.3408,344.85,331.33,337.74,340.96,347.87,339.96,344.23,PF654,MEAN_REVERSION,-1692,-2846,194.6,-408372.54,-3265.89,-411638.43,NEW,CANCELLED,NONE,YES,YES,NSCC,JPMORGAN,RVP,SI84976,ORDB00000007,EXEB00000007,ALOB00000007,CNFB00000007,TRADING_SYSTEM_B,USER_044,2024-04-12 07:47:55,USER_044,2024-04-12 07:47:55,2,AUDIT_148759,0.01,100,SMALL_CAP,HEALTHCARE,SOFTWARE,-0.0086,1.1813,1.2545,3.6622,0.8925,0.0715,-34700.51,-67456.89,-0.2657,NO,NO,YES,NO,YES
TRDB000008,B,TRADER_001,EQUITY,BOOK_014,2024-10-05,12:51:48,2024-02-13,2026-02-25,2024-02-13,MMM,US8733575600,846891707,7490068,MMM.N,MMM US Equity,OPTION,SWAP,DERIVATIVE,PREFERRED,SELL,8672,103.95,901454.4,884262.47,EUR,AUD,0.8903,787258.88,4322.13,90.15,180.29,45.07,4637.639999999999,CP2276,UBS,FR,AA+,EURONEXT,FLOOR,MARKET,GTC,11:01:25.875,21,-4.49,8.64,-2.5807,0.7272,0.097607,92.33,-3.0136,34.3428,0.195,0.2544,103.78,104.38,104.08,2198,4818,103.95,104.97,106.91,100.63,105.67,104.89,2219990,72.27,0.1523,-0.5104,0.6627,106.03,101.87,103.59,106.3,104.29,103.39,102.46,PF523,TREND_FOLLOWING,-3526,-12198,288.44,2250409.02,-7110.49,2243298.53,FILLED,SETTLED,NONE,YES,YES,NSCC,JPMORGAN,RVP,SI89817,ORDB00000008,EXEB00000008,ALOB00000008,CNFB00000008,TRADING_SYSTEM_B,USER_014,2024-05-14 10:23:16,USER_014,2024-05-14 10:23:16,3,AUDIT_764000,0.1,1,MID_CAP,INDUSTRIAL,RETAIL,0.0114,1.1456,2.2467,-0.266,-0.0221,0.0352,-36034.12,-8497.16,-0.2577,NO,NO,YES,NO,YES
TRDB000009,B,TRADER_001,EQUITY,BOOK_049,2024-08-05,12:30:13,2025-01-06,2025-04-20,2025-01-06,COP,US3534753843,468909933,8060918,COP.N,COP US Equity,EQUITY,OPTION,DERIVATIVE,PREFERRED,BUY,3182,267.58,851439.56,834644.63,AUD,AUD,1.1279,941395.68,1429.6,85.14,170.29,42.57,1727.6,CP7108,Deutsche Bank,FR,A+,LSE,OTC,LIMIT,IOC,16:35:47.563,70,-4.7,1.08,3.7629,0.8585,0.025683,2.29,-2.9606,26.1743,0.252,0.2907,267.51,267.93,267.72,273,1124,267.58,267.31,268.23,264.83,264.29,265.29,5983417,64.9,0.6487,1.1056,-0.45689999999999986,272.93,262.23,271.24,270.41,262.02,265.04,269.81,PF874,MOMENTUM,-8626,-5444,88.74,-973604.96,-5340.56,-978945.52,FILLED,SETTLED,NONE,YES,YES,DTC,CITI,RVP,SI72003,ORDB00000009,EXEB00000009,ALOB00000009,CNFB00000009,TRADING_SYSTEM_B,USER_018,2024-10-10 14:54:07,USER_018,2024-10-10 14:54:07,1,AUDIT_978146,0.05,1000,MID_CAP,ENERGY,OIL_GAS,-0.0287,1.2116,1.9861,2.4617,-0.2629,0.0706,-14203.93,-5168.03,-0.0439,NO,NO,YES,YES,NO
TRDB000010,B,TRADER_001,EQUITY,BOOK_016,2024-09-29,14:19:58,2024-10-13,2026-05-09,2024-10-13,SLB,US3886690817,977364141,7130603,SLB.N,SLB US Equity,FUTURE,SWAP,STRUCTURED,COMMON,BUY,8107,358.45,2905954.15,2901387.11,CHF,CHF,1.2188,3536210.61,14130.53,290.6,581.19,145.3,15147.62,CP2956,Morgan Stanley,DE,AAA,NYSE,ELECTRONIC,STOP,GTC,12:06:29.104,43,0.72,10.33,-4.8096,-0.3931,0.045613,46.78,-5.0748,-44.1703,0.2904,0.2502,358.26,358.59,358.42,4119,3591,358.45,341.68,380.85,354.54,356.86,356.98,4760296,72.13,-1.5353,0.3837,-1.919,365.62,351.28,354.58,355.37,364.03,357.62,352.25,PF703,MOMENTUM,1395,9502,200.53,1500555.84,8109.79,1508665.6300000001,FILLED,SETTLED,NONE,NO,REVIEW,NSCC,STATE_STREET,FOP,SI14910,ORDB00000010,EXEB00000010,ALOB00000010,CNFB00000010,TRADING_SYSTEM_B,USER_042,2024-08-02 20:37:37,USER_042,2024-08-02 20:37:37,1,AUDIT_804791,0.1,1000,SMALL_CAP,FINANCIALS,MANUFACTURING,-0.0209,1.4181,1.2398,3.5571,1.2417,0.0935,-36437.78,-8742.11,-0.1234,NO,NO,NO,NO,NO
